species,NSCA_DBH1,NSCA_DBH2,NSCA_DBH3,NSCA_DBH4,NSCA_DBH5
Treculia.africana,2.733156275129618e-4,0.0024122679007772363,0.0023602922535336883,2.528519146244198e-7,0.02253046643146944
Trichilia.prieureana,0.0014092879029639356,4.072862792789941e-5,0.005126063575969527,4.217405825573036e-6,0.08914504562449053
Trichilia.tessmannii,5.903171845819188e-6,1.917823732566009e-4,5.259991542027362e-6,9.856561398205304e-8,7.049065878308212e-5
Turraeanthus.africanus,5.970402084951792e-4,7.501759250421112e-4,0.003256030419389156,3.463215066016593e-4,0.18334789641645807
Vernonia.amygdalina,1.8249137777150743e-5,6.862155125404993e-4,5.466641015447398e-6,1.0560389220491623e-8,2.7207524799760095e-5
Vernonia.conferta,0.0017058959085006359,0.2956848240148637,0.008034166162146788,2.115876431504878e-5,0.020530141498034483
Xylopia.chrysophylla,2.530427895711415e-5,4.32773746943183e-5,1.9202258524109305e-4,9.407643674548293e-7,9.423146510189498e-4
Artabotrys.thomsonii,1.7134619983493931e-7,2.5897241509012036e-7,3.297357272558782e-9,1.1638891408056111e-8,1.5239194360455392e-7
Barteria.nigritana,1.3147240548418559e-5,4.7316307736732593e-5,3.077084311795637e-4,1.954486881802392e-8,0.003645149866586002
Casearia.barteri,6.734606080169283e-7,8.370985297423461e-7,3.294569711097174e-6,9.550528719281243e-7,2.0947072928987115e-6
Celtis.mildbraedii,0.0015862692285145334,0.005826948656561999,7.646368604806218e-4,1.4158721016687851e-4,0.17871232996676778
Dialium.corbisieri,1.1599541399730388e-4,6.298321482085527e-4,0.007433710321299685,2.880203985941046e-4,0.002048230724189151
Discoglypremna.caloneura,6.61560287616322e-4,2.197522295804533e-4,0.005278147013766756,7.1263867416285486e-6,0.015514034566761372
Drypetes.gossweileri,1.7408377130074333e-4,6.009713218475918e-4,6.007545344748242e-6,1.5633174812038617e-4,0.13506927319790532
Ficus.mucuso,2.5306837708800563e-4,0.003069178932576083,5.85097959670834e-4,9.451610857071745e-6,0.002005392483241212
Grewia.coriacea,8.762568095595895e-5,2.2389171348536233e-4,0.004400304538656087,0.001482992917349114,0.004855359326332878
Harungana.madagascariensis,1.902365833486042e-5,5.618778695189976e-4,7.317353179883615e-8,1.7091867523070872e-8,1.7944914703928205e-4
Lannea.welwitschii,3.127396579285128e-4,0.001470485018277441,0.001229046647649374,8.321950373727258e-6,0.008086615262740316
Mammea.africana,0.003781703537141878,5.648182209355371e-4,0.003070794402013593,0.0012196428330406913,0.1959125087173267
Nesogordonia.kabingaensis,2.2281586514272839e-4,0.0035446812277041616,5.904151299641137e-4,2.7175142344917547e-6,0.0015286726791893558
Pterygota.bequaertii,0.005819952941844305,0.0018737631261914716,0.030174531934416132,5.632217741837114e-4,0.17021399276684462
Sterculia.tragacantha,4.6226433093907174e-5,6.1764127575574e-4,5.6861634634899445e-5,9.154532437174452e-7,0.0015431046129624085
Trilepisium.madagascariense,0.011317989345601383,0.08865789596682955,0.025531810376513586,1.7816533502883384e-5,0.5211602849609607
Vitex.ferruginea,6.088661295091205e-5,2.7639795051876562e-5,2.510013836742056e-4,1.2297547102209674e-5,5.553538898901149e-4
Aoranthe.nalaensis,2.433217001670755e-6,1.010958515400736e-6,1.1487494614369829e-5,5.877494737359362e-8,4.538687148602318e-5
Autranella.congolensis,4.1409838555637894e-5,0.0014796973601697687,2.252465613078165e-5,2.152935425740324e-8,1.3999691979520341e-4
Blighia.welwitschii,4.501281981927807e-4,0.0037544523158929742,0.001278492280676336,4.326375392504809e-4,0.07926599387662973
Ceiba.pentandra,2.7888199510000297e-4,8.801456764778575e-5,0.0022286001802442894,1.899924092861694e-5,0.003228113467293543
Cuviera.latior,4.2145998113475797e-7,1.5483176105946094e-5,2.3589249054131243e-7,3.2662302407828886e-10,1.15606920564497e-6
Dacryodes.yangambiensis,3.1844076789381867e-7,3.4914507277594095e-5,3.4392794622323624e-6,7.4435470120694766e-9,1.7676389781312676e-5
Drypetes.calvescens,6.925804451070164e-8,2.5443329092015953e-6,3.876394756546706e-8,5.367359405969663e-11,1.8997555185769846e-7
Erythrina.abyssinica,2.1330112991829644e-6,2.3223652772193474e-5,8.864918375528552e-6,8.424429680168592e-8,1.7759824262984815e-5
Ficus.recurvata,4.616676628067429e-6,2.3861397830798894e-4,4.7193597356479567e-7,1.170097756868172e-10,5.16254001817316e-6
Garcinia.ovalifolia,2.1071935395279055e-7,5.706584673723934e-9,9.156523577601541e-9,5.593902200613261e-8,4.186899185363906e-5
Phyllocosmus.africanus,2.546643937409659e-7,5.026742696241142e-5,1.19612077860894e-6,1.0188820921603056e-8,6.34632405515562e-6
Rinorea.mildbraedii,1.0711963269743361e-8,3.9352541443984006e-7,5.9955198770791e-9,8.301556478883475e-12,2.9383029047758406e-8
Rytigynia.dubiosa,6.874570552866544e-7,7.633372315662958e-6,2.102153668002812e-6,4.490782267463833e-10,1.5140664617248723e-5
Rytigynia.verruculosa,1.277641813667377e-8,4.693672967020627e-7,7.151001825469918e-9,9.901467554412716e-12,3.504585067954454e-8
Sorindeia.nitidula,4.931958736015486e-7,3.277773128306577e-7,5.015704762384007e-6,6.329494085147785e-8,4.727674298533754e-5
Trema.guineensis,1.3433693581777171e-7,1.971576510855698e-6,4.3059292875221473e-7,3.695252526286414e-9,9.426594125668263e-7
Tricalysia.sp,9.960546137359457e-9,3.659206018585837e-7,5.574949320614391e-9,7.719223286861943e-12,2.7321883870927648e-8
Trichoscypha.lescrauwaeti,4.048813911403494e-7,2.267571999430344e-5,9.152152263063144e-8,1.1790064979349847e-10,5.930691462591912e-9
Uapaca.guineensis,0.002280776099750983,0.0066306254906682216,0.1772834051448637,0.0028108826753140423,0.3987106595234523
Xylopia.staudtii,8.096170252064034e-6,1.53634739777659e-6,7.402438274939164e-5,3.5914213414321585e-8,1.7359505356742168e-4
Allanblackia.floribunda,6.1875897154634345e-6,7.30843662606766e-5,0.018489314514212242,0.0019973823034800443,0.5262986930826334
Antrocaryon.nannani,2.1820105218814376e-4,0.002800725850071089,7.43628132757373e-4,9.60737499914154e-6,0.022890603998432978
Combretum.racemosum,1.7972815002352993e-8,2.5326221596101912e-6,3.8208896148745366e-8,3.5959227679827886e-10,3.6605320390326995e-8
Entandrophragma.candollei,0.006554352115014255,6.717754838729204e-7,0.009488956544278998,4.059486444337872e-5,0.013095905149322198
Funtumia.elastica,0.0035580105842017524,0.006992520487797948,0.016985495078237194,1.8012953700030838e-4,0.07025994717735581
Garcinia.smeathmanii,0.0014782430201442714,3.4295377842138354e-6,1.1115677046524341e-5,6.801400967608281e-5,4.914087411582314e-10
Hymenocardia.ulmoides,0.0026413340980617757,8.490916250431565e-4,0.0035321762445373914,1.6908215249396128e-4,0.008310488948262106
Memecylon.aff.myriantum,5.925534205768366e-7,8.34991025896188e-5,1.2597254301254463e-6,1.1855551487173087e-8,1.2068564554723083e-6
Nauclea.diderrichii,2.931218619494691e-5,3.720016680424229e-7,1.7149797298171747e-4,1.3528820935988793e-5,1.4396119986851652e-5
Pavetta.sp,2.5776538728484196e-8,3.6322764782958423e-6,5.479904462499757e-8,5.157257918774063e-10,5.2499202745162965e-8
Prioria.oxyphylla,0.03203133711438047,9.139308466965125e-5,6.71027954342411e-4,8.190067641844024e-4,0.03341409871342661
Aphanocalyx.cynometroides,3.098143798824083e-4,4.0750120235057056e-7,4.367470884971416e-6,3.6743763283364055e-6,5.4316351238293124e-6
Cavacoa.quintasii,0.8271446182880227,0.0015360205490830524,0.011436644287990483,0.010404820418213038,0.004798134927598411
