species,NSCA1,NSCA2,NSCA3,NSCA4,NSCA5
indet.indet,0.0339315723914384,-0.030177137244178916,-0.013528580532771504,-0.014850583644243763,-0.005341509523509697
Albizia.laurentii,-0.38858099471409596,0.0503737806185877,-0.13964125344962847,-0.4087810328720447,0.05687291098891823
Macaranga.zenkeri,-0.5595471158446489,0.07182574468722537,-0.19960996756568078,-0.5902232912716688,0.07952557767817538
Margaritaria.discoidea,-0.4999109353415575,-0.10855823619086671,0.6310968117744925,-0.8237533055481125,-0.1717238595465819
Musanga.smithii,-19.884486870514372,2.502246931557241,-6.869492557810799,-22.573711951299813,2.4659112788519084
Spathodea.campanulata,-0.08299201981966466,0.004077735941590632,0.036954979759779745,-0.10966311535625371,0.03692152728360112
Bellucia.grossularioides,-0.5812318033877433,0.07274332824916456,-0.20287259947297775,-0.624889831644749,0.07540084117548453
Pausinystalia.lane.poolei,-0.06833343999608457,0.00838743604325149,-0.022966457124820677,-0.08056305644587668,0.007442841107712986
Trema.orientalis,-0.20500031998825394,0.02516230812975447,-0.06889937137446198,-0.24168916933763002,0.022328523323138942
Canarium.sp.,-0.10263268113446816,0.013064528025386185,-0.03700225699123165,-0.1008792019537474,0.01520982558154419
Chrysophyllum.crissiforme,-0.10263268113446816,0.013064528025386185,-0.03700225699123165,-0.1008792019537474,0.01520982558154419
Omphalocarpum.endjolis,-0.10263268113446816,0.013064528025386185,-0.03700225699123165,-0.1008792019537474,0.01520982558154419
Paramacrolobium.coeruleum,-0.1791154307129935,0.006363322895029516,-0.08238430011579206,-0.207570866070515,0.01682234089572686
Persea.americana,-0.6157960868068093,0.0783871681523171,-0.22201354194738993,-0.6052752117224847,0.09125895348926512
Synsepalum.longicuneatum,0.18468930172110604,-0.24134857624928666,1.154653408858261,-0.16546264838075866,0.4031401563017649
Trichilia.gilgiana,0.07027039637831577,-0.15148577356351547,0.03722160350292996,-0.21607894435710678,-0.047344339462551344
Tridesmostemon.claessensii,-0.08074871727022746,-0.012150704896305674,-0.015970056820434942,-0.12332418420817674,0.01082841785479849
Zanthoxylum.lemairei,-0.20526536226893632,0.02612905605077237,-0.0740045139824633,-0.2017584039074948,0.03041965116308838
Alafia.multiflora,0.002061845808473798,-0.0031993245835996347,0.01390999336688657,-0.002588669467300413,-0.002469372833739335
Anthonotha.acuminata,0.03481043687499671,-0.0494917597601859,0.2169418927329224,-0.02620500168880495,0.009270113663377134
Antidesma.laciniatum,0.004123691616947596,-0.006398649167199269,0.02781998673377314,-0.005177338934600826,-0.00493874566747867
Baphia.dewevrei,0.1633058570627164,-0.1990333154389069,0.9732390734150094,-0.022204588498840095,0.34085122545369995
Bersama.abyssinica,0.017503863114816706,-0.014513063150821227,0.05456789556028791,-0.014264015617080216,-0.017253883684954258
Desplatsia.dewevrei,0.34399849476103905,-0.27864685549891705,1.5025057081404476,-0.5538939343201912,-0.2222502552303771
Gigasiphon.gossweileri,0.008057834358458506,-0.011275891186921731,0.04552808538146546,-0.006545913222113888,-0.00210922100663938
