species,CA1,CA2,CA3,CA4,CA5
Turraeanthus africanus,0.6090953275827939,-0.15465334377513312,0.020706159249197414,-0.011101774386997467,0.4243047992939568
Vernonia amygdalina,1.275462607324302,-1.122459847360484,0.46745217779830994,0.6546604180384838,-0.28679828187238804
Vernonia conferta,1.941827004184271,-1.9175745126440678,0.7941386620783278,1.4403468800492885,-0.43556881383150214
Xylopia chrysophylla,0.37556206269118503,-0.4125182132922151,0.2097232588650422,-0.09027194213291037,0.06370237643994867
Artabotrys thomsonii,0.753781438372093,-0.7565113234466595,0.32245312648894986,-0.001382980216938618,-0.14591527975134017
Barteria nigritana,0.556153606466661,-0.22186496247337362,0.07293222667449965,-0.17974265331966308,0.11559896656130617
Casearia barteri,0.3820305331103378,-0.8530983100584978,0.2500684980323859,0.15150872724632328,-0.21287037052535254
Celtis mildbraedii,0.4649127295819936,0.04538234357744316,-0.0750602538762443,-0.22075247694977465,0.37447872006958866
Dialium corbisieri,0.19366322543833053,0.23615638887824247,-0.27501736008155264,-0.10529689542318355,0.19928247340878985
Discoglypremna caloneura,0.6840581597809889,-0.633878021601161,0.10247322026615564,-4.506335413543206,-3.12649633178059
Drypetes gossweileri,0.28351959056906645,0.2401804247202802,-0.18789468265543624,-0.26257746103533275,0.6783363778857492
Ficus mucuso,1.1280824453588485,-0.9308394206878995,0.39073868279373625,0.11339096714497887,-0.2673139699437174
Grewia coriacea,-1.825661024609424,-1.2072856204628852,0.01036001746483303,0.2776764102659741,-0.40476019462841817
Harungana madagascariensis,1.0126764822329528,-0.5557376331078993,0.24169260169910559,0.41247961624174845,-0.13275907724416294
Lannea welwitschii,0.9174030623333319,-0.5542508086226722,0.2921415385497002,0.08638668803713413,-0.09993565387012017
Mammea africana,0.4449006021274723,0.21040612850083668,-0.16022204764718959,0.03568688347995396,0.1779586932550165
Nesogordonia kabingaensis,0.8865179588664758,-0.8096454311716305,0.3440124420610097,0.04748889238788028,-0.22278252838549747
Pterygota bequaertii,0.5958512850728743,-0.03530492818503768,-0.014726756921722484,-0.20693277069557622,-0.05748058470863866
Sterculia tragacantha,0.6678928194648184,-0.22132549222152476,0.049519413522851344,7.305935646741658e-4,0.034900445704793184
Trilepisium madagascariense,0.8041234216107345,-0.3284573018042527,0.19530167381510394,0.09684645104523473,0.13147388391623877
Vitex ferruginea,0.5809276689729346,0.5812029889689493,-0.4482522564745037,-0.03687592406377078,-0.42326145223926237
Aoranthe nalaensis,0.5795298470884779,-0.4075546769512454,0.24683194114135254,-0.21907654150957998,-0.04153072388521968
Autranella congolensis,0.7268841171233906,-0.36294628193545614,0.13084902938446882,0.1603015484182573,0.15952544247362893
Blighia welwitschii,0.47968043520109144,-0.15416012899618348,-0.0169636276505331,-0.6996778709604254,-0.1595141163539335
Ceiba pentandra,0.9727691805511938,-0.6570569533706805,0.258672845548545,0.208280020672309,-0.17111501352875014
Cuviera latior,1.1899409391980627,-0.9863275070235932,0.41056820047995213,0.529741776026926,-0.28466222403191993
Dacryodes yangambiensis,0.6702299149952732,-0.11726147596624048,-0.09044858430464858,0.2810228243080567,-0.14213017920750398
Drypetes calvescens,1.1899409391980627,-0.9863275070235932,0.41056820047995213,0.529741776026926,-0.28466222403191993
Erythrina abyssinica,1.0630105490488728,-0.856152881735832,0.35856428574102855,0.008623447606351989,-0.2733130255974166
Ficus recurvata,1.331118889656965,-1.1464406906358762,0.4631505837264648,0.7113110432877119,-0.3381060123892379
Garcinia ovalifolia,0.5668239180791124,-0.13417021732350093,0.008946107282461924,0.013716593503211017,0.3596901297350677
Phyllocosmus africanus,0.685889089288972,-0.20562069906917002,-0.04934637631358796,0.112479925190102,-0.18675745949831757
Rinorea mildbraedii,1.1899409391980627,-0.9863275070235932,0.41056820047995213,0.529741776026926,-0.28466222403191993
Rytigynia dubiosa,0.5779725823225077,-0.5047289038162044,0.2567575798387049,-0.07967939613004721,-0.07955969394115674
Rytigynia verruculosa,1.1899409391980627,-0.9863275070235932,0.41056820047995213,0.529741776026926,-0.28466222403191993
Sorindeia nitidula,0.5524070342942626,-0.5106363725371227,0.24821285246988292,0.015365563753159495,-0.02417676098625744
Trema guineensis,1.0947431465861701,-0.8886965380577724,0.3715652644257593,0.1389030297114954,-0.2761503252060423
Tricalysia sp,1.1899409391980627,-0.9863275070235932,0.41056820047995213,0.529741776026926,-0.28466222403191993
Trichoscypha lescrauwaeti,1.1718065965152822,-0.9898037739138469,0.39930580829504003,0.4254908862495954,-0.27999343775558333
Uapaca guineensis,0.37929545044178353,2.619357625944095,-2.104953473837062,2.967381595396228,-4.613134339682845
Xylopia staudtii,0.4273571058936453,-0.5019104500305154,0.205367092694868,-0.006838554928621571,-0.002929592293151125
Allanblackia floribunda,0.19389669101014587,0.3387071598612647,0.49121879216192993,0.03205532078551283,0.28108044897867723
Antrocaryon nannani,0.5487339651536718,-0.2135299894154045,0.08273319577960804,-0.1838550384869721,0.10136834241768496
Combretum racemosum,1.4722968401158676,-1.3065538742481593,0.5157329669729774,0.8928803105484981,-0.3915498007465559
Entandrophragma candollei,0.26102855628130506,0.1762953763845637,-0.32107234750615554,-0.40309140420720285,0.5875704163752227
