respons;predictors;buffer;height_aboveground;xmin;RMSE;rRMSE;Rsquared;MAE;P_Value;model
WD.BA;proportion;50;6;110;;;;;;
WD.BA;proportion;50;6;111;;;;;;
WD.BA;proportion;50;6;112;;;;;;
WD.BA;proportion;50;6;113;;;;;;
WD.BA;proportion;50;6;114;;;;;;
WD.BA;proportion;50;6;115;;;;;;
WD.BA;proportion;50;6;116;;;;;;
WD.BA;proportion;50;6;117;;;;;;
WD.BA;proportion;50;6;118;;;;;;
WD.BA;proportion;50;6;119;;;;;;
WD.BA;proportion;50;6;120;;;;;;
WD.BA;proportion;50;7;1;;;;;;
WD.BA;proportion;50;7;2;;;;;;
WD.BA;proportion;50;7;3;;;;;;
WD.BA;proportion;50;7;4;;;;;;
WD.BA;proportion;50;7;5;;;;;;
WD.BA;proportion;50;7;6;;;;;;
WD.BA;proportion;50;7;7;;;;;;
WD.BA;proportion;50;7;8;;;;;;
WD.BA;proportion;50;7;9;;;;;;
WD.BA;proportion;50;7;10;;;;;;
WD.BA;proportion;50;7;11;;;;;;
WD.BA;proportion;50;7;12;;;;;;
WD.BA;proportion;50;7;13;;;;;;
WD.BA;proportion;50;7;14;;;;;;
WD.BA;proportion;50;7;15;;;;;;
WD.BA;proportion;50;7;16;;;;;;
WD.BA;proportion;50;7;17;;;;;;
WD.BA;proportion;50;7;18;;;;;;
WD.BA;proportion;50;7;19;;;;;;
WD.BA;proportion;50;7;20;;;;;;
WD.BA;proportion;50;7;21;;;;;;
WD.BA;proportion;50;7;22;;;;;;
WD.BA;proportion;50;7;23;;;;;;
WD.BA;proportion;50;7;24;;;;;;
WD.BA;proportion;50;7;25;;;;;;
WD.BA;proportion;50;7;26;;;;;;
WD.BA;proportion;50;7;27;;;;;;
WD.BA;proportion;50;7;28;;;;;;
WD.BA;proportion;50;7;29;;;;;;
WD.BA;proportion;50;7;30;;;;;;
WD.BA;proportion;50;7;31;;;;;;
WD.BA;proportion;50;7;32;;;;;;
WD.BA;proportion;50;7;33;;;;;;
WD.BA;proportion;50;7;34;;;;;;
WD.BA;proportion;50;7;35;;;;;;
WD.BA;proportion;50;7;36;;;;;;
WD.BA;proportion;50;7;37;;;;;;
WD.BA;proportion;50;7;38;;;;;;
WD.BA;proportion;50;7;39;;;;;;
WD.BA;proportion;50;7;40;;;;;;
WD.BA;proportion;50;7;41;;;;;;
WD.BA;proportion;50;7;42;;;;;;
WD.BA;proportion;50;7;43;;;;;;
WD.BA;proportion;50;7;44;;;;;;
WD.BA;proportion;50;7;45;;;;;;
WD.BA;proportion;50;7;46;;;;;;
WD.BA;proportion;50;7;47;;;;;;
WD.BA;proportion;50;7;48;;;;;;
WD.BA;proportion;50;7;49;;;;;;
WD.BA;proportion;50;7;50;;;;;;
WD.BA;proportion;50;7;51;;;;;;
WD.BA;proportion;50;7;52;;;;;;
WD.BA;proportion;50;7;53;;;;;;
WD.BA;proportion;50;7;54;;;;;;
WD.BA;proportion;50;7;55;;;;;;
WD.BA;proportion;50;7;56;;;;;;
WD.BA;proportion;50;7;57;;;;;;
WD.BA;proportion;50;7;58;;;;;;
WD.BA;proportion;50;7;59;;;;;;
WD.BA;proportion;50;7;60;;;;;;
WD.BA;proportion;50;7;61;;;;;;
WD.BA;proportion;50;7;62;;;;;;
WD.BA;proportion;50;7;63;;;;;;
WD.BA;proportion;50;7;64;;;;;;
WD.BA;proportion;50;7;65;;;;;;
