Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile non pionnière;Betamba_4;13,4615384615385;ind.rel;3
tolérante à l'ombrage;Betamba_4;13,9423076923077;ind.rel;3
héliophile;GIL1;8,28402366863905;ind.rel;3
héliophile non pionnière;GIL1;6,21301775147929;ind.rel;3
tolérante à l'ombrage;GIL1;85,5029585798817;ind.rel;3
héliophile;GIL2;14,6919431279621;ind.rel;3
héliophile non pionnière;GIL2;9,00473933649289;ind.rel;3
tolérante à l'ombrage;GIL2;76,303317535545;ind.rel;3
héliophile;GIL3;26,8011527377522;ind.rel;3
héliophile non pionnière;GIL3;10,9510086455331;ind.rel;3
tolérante à l'ombrage;GIL3;62,2478386167147;ind.rel;3
héliophile;JEU-L6B;8,41121495327103;ind.rel;3
héliophile non pionnière;JEU-L6B;13,5514018691589;ind.rel;3
tolérante à l'ombrage;JEU-L6B;78,0373831775701;ind.rel;3
héliophile;JEU2;94,4;ind.rel;3
héliophile non pionnière;JEU2;3,73333333333333;ind.rel;3
tolérante à l'ombrage;JEU2;1,86666666666667;ind.rel;3
héliophile;JEU3;91,5194346289753;ind.rel;3
héliophile non pionnière;JEU3;6,71378091872792;ind.rel;3
tolérante à l'ombrage;JEU3;1,76678445229682;ind.rel;3
héliophile;JEU4;83,8383838383838;ind.rel;3
héliophile non pionnière;JEU4;6,3973063973064;ind.rel;3
tolérante à l'ombrage;JEU4;9,76430976430976;ind.rel;3
héliophile;Lokofa_1;20,335429769392;ind.rel;3
héliophile non pionnière;Lokofa_1;46,5408805031447;ind.rel;3
tolérante à l'ombrage;Lokofa_1;33,1236897274633;ind.rel;3
héliophile;Lokofa_2;21,7741935483871;ind.rel;3
héliophile non pionnière;Lokofa_2;16,1290322580645;ind.rel;3
tolérante à l'ombrage;Lokofa_2;62,0967741935484;ind.rel;3
héliophile;Lokofa_3;21,9512195121951;ind.rel;3
héliophile non pionnière;Lokofa_3;16,0975609756098;ind.rel;3
tolérante à l'ombrage;Lokofa_3;61,9512195121951;ind.rel;3
héliophile;Lokofa_4;13,961038961039;ind.rel;3
héliophile non pionnière;Lokofa_4;19,4805194805195;ind.rel;3
tolérante à l'ombrage;Lokofa_4;66,5584415584416;ind.rel;3
héliophile;M2P1;15,2588555858311;ind.rel;3
héliophile non pionnière;M2P1;18,5286103542234;ind.rel;3
tolérante à l'ombrage;M2P1;66,2125340599455;ind.rel;3
héliophile;M2P10;10,1492537313433;ind.rel;3
héliophile non pionnière;M2P10;14,6268656716418;ind.rel;3
tolérante à l'ombrage;M2P10;75,2238805970149;ind.rel;3
héliophile;M2P11;12,2448979591837;ind.rel;3
héliophile non pionnière;M2P11;15,0510204081633;ind.rel;3
tolérante à l'ombrage;M2P11;72,7040816326531;ind.rel;3
héliophile;M2P12;13,0434782608696;ind.rel;3
héliophile non pionnière;M2P12;23,9130434782609;ind.rel;3
tolérante à l'ombrage;M2P12;63,0434782608696;ind.rel;3
héliophile;M2P13;5,88235294117647;ind.rel;3
héliophile non pionnière;M2P13;17,9411764705882;ind.rel;3
tolérante à l'ombrage;M2P13;76,1764705882353;ind.rel;3
héliophile;M2P14;15,3638814016173;ind.rel;3
héliophile non pionnière;M2P14;83,2884097035041;ind.rel;3
tolérante à l'ombrage;M2P14;1,34770889487871;ind.rel;3
