plot_ref;site;H_mean;H_95;H_Lor;n_tree;DBH_mean;QMD;G;WD_BA;WD_mean;AGB_Chave;H_mean_20;WD_mean_20;QMD_20;AGB_Bastin_20
JEU2;Yangambi;13,90483229317;18,504;16,1205063975491;447;19,9135946581655;21,7906036984352;16,6700126416147;0,2818604059494;0,302673266932329;52,9025427896475;18,332108417;0,249775446428571;40,789721595833;27,5511111994337
JEU3;Yangambi;9,76271428571429;13,4055;10,6187163911804;350;13,0642562398286;13,8043670096433;5,23830666929196;0,312681517932898;0,317109220440544;12,6373351913832;13,0875;0,286530870535714;28,3091112295609;14,5244202762075
JEU4;Yangambi;15,1325842547267;19,37438374;17,6138179626675;311;24,3866312998071;27,0279747445952;17,8433863591896;0,342506065411592;0,351546393404055;74,4190513465238;19,7608158515;0,387331697916666;51,6046108956529;64,3765555957068
Lokofa_1;Lokofa;15,5939941962443;32,232;22,9261361775662;495;21,3026262626263;25,003639331065;24,3053305467644;0,525331345059469;0,543220422992145;197,433462374561;32,28;0,549977063599897;68,2768335528238;229,38650871909
Lokofa_2;Lokofa;15,9698055418882;31,86;24,9401973644292;267;24,2707865168539;29,9181611574174;18,7702880411015;0,567394442339608;0,631775980432104;173,475708200642;27,1885;0,516250825341304;75,3339697613235;196,495473038169
Lokofa_3;Lokofa;16,539308568705;36,2865;28,3372868246579;230;27,6034782608696;33,9165818109539;20,7798242753317;0,544942022335511;0,610528173816418;206,574066927444;34,8635;0,499553241642052;81,3926255873344;273,911333055217
Lokofa_4;Lokofa;16,1913705364996;28,099;22,9618657112991;318;23,8745283018868;27,7862308102684;19,2830745019837;0,573872343671599;0,622875752530392;169,884540270586;28,344;0,511489404650629;66,5765311502485;177,197474143185
M2P1;Malebo;19,2348993288591;34,4;25,5012157452735;447;23,4031319910515;26,3998381460702;24,46808232498;0,694475282880927;0,683213487687209;291,103729963883;32,45;0,75332227193323;63,6199104054698;304,24408061587
M2P10;Malebo;17,0337078651685;25;21,6582705376804;356;25,0050561797753;29,3168442972732;24,0311370523481;0,704236641780394;0,690164218831327;244,594623311952;26,55;0,725084935382326;73,3878055265315;272,869468940941
M2P11;Malebo;15,7511737089202;25;20,3827166104303;426;22,0617370892019;25,3796751515484;21,5512070085033;0,657500079134871;0,635462569755377;196,607342172579;24,85;0,69424018026834;65,5070454226109;211,878859400358
M2P12;Malebo;19,8272727272727;32;26,3434078824766;110;39,7818181818182;47,0090416834889;19,0917334452224;0,653928564254394;0,635644356226869;217,188653469915;30,05;0,679386471593148;84,1090631263956;340,382654260925
M2P13;Malebo;16,6368421052632;22;19,3814579650614;380;23,9473684210526;26,5229959806481;20,9951333278455;0,657192921473554;0,637840779216822;182,767826153178;21,1;0,675371193312013;53,9763049865402;137,004371983852
