Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile non pionnière;Lokofa_4;19,480519480519501;ind.rel;3
tolérante à l'ombrage;Lokofa_4;66,558441558441601;ind.rel;3
héliophile;M2P1;15,258855585831100;ind.rel;3
héliophile non pionnière;M2P1;18,528610354223400;ind.rel;3
tolérante à l'ombrage;M2P1;66,212534059945497;ind.rel;3
héliophile;M2P10;10,149253731343300;ind.rel;3
héliophile non pionnière;M2P10;14,626865671641800;ind.rel;3
tolérante à l'ombrage;M2P10;75,223880597014897;ind.rel;3
héliophile;M2P11;12,244897959183699;ind.rel;3
héliophile non pionnière;M2P11;15,051020408163300;ind.rel;3
tolérante à l'ombrage;M2P11;72,704081632653100;ind.rel;3
héliophile;M2P12;13,043478260869600;ind.rel;3
héliophile non pionnière;M2P12;23,913043478260899;ind.rel;3
tolérante à l'ombrage;M2P12;63,043478260869598;ind.rel;3
héliophile;M2P13;5,882352941176470;ind.rel;3
héliophile non pionnière;M2P13;17,941176470588200;ind.rel;3
tolérante à l'ombrage;M2P13;76,176470588235304;ind.rel;3
héliophile;M2P14;15,363881401617300;ind.rel;3
héliophile non pionnière;M2P14;83,288409703504101;ind.rel;3
tolérante à l'ombrage;M2P14;1,347708894878710;ind.rel;3
héliophile;M2P15;56,845238095238102;ind.rel;3
héliophile non pionnière;M2P15;21,428571428571399;ind.rel;3
tolérante à l'ombrage;M2P15;21,726190476190499;ind.rel;3
héliophile;M2P16;29,199999999999999;ind.rel;3
héliophile non pionnière;M2P16;18,399999999999999;ind.rel;3
tolérante à l'ombrage;M2P16;52,399999999999999;ind.rel;3
héliophile;M2P2;6,126914660831510;ind.rel;3
héliophile non pionnière;M2P2;24,070021881838102;ind.rel;3
tolérante à l'ombrage;M2P2;69,803063457330396;ind.rel;3
héliophile;M2P9;32,500000000000000;ind.rel;3
héliophile non pionnière;M2P9;19,166666666666700;ind.rel;3
tolérante à l'ombrage;M2P9;48,333333333333300;ind.rel;3
héliophile;MAB01h;1,415094339622640;ind.rel;3
héliophile non pionnière;MAB01h;10,377358490565999;ind.rel;3
tolérante à l'ombrage;MAB01h;88,207547169811306;ind.rel;3
héliophile;MAB02h;8,500000000000000;ind.rel;3
héliophile non pionnière;MAB02h;18,000000000000000;ind.rel;3
tolérante à l'ombrage;MAB02h;73,500000000000000;ind.rel;3
héliophile;MAB03h;3,394255874673630;ind.rel;3
héliophile non pionnière;MAB03h;9,399477806788511;ind.rel;3
tolérante à l'ombrage;MAB03h;87,206266318537899;ind.rel;3
héliophile;MAB04h;7,486631016042780;ind.rel;3
héliophile non pionnière;MAB04h;9,625668449197860;ind.rel;3
