Site;Area_code;Plot_code;Scale;sw_x;sw_y;nw_x;nw_y;se_x;se_y;ne_x;ne_y;agb_fph;cred_fph_2.5;cred_fph_97.5;agb_chv;cred_chv_2.5;cred_chv_97.5;agb_loc;cred_loc_2.5;cred_loc_97.5;TCH;H50;GF20;STDV;BA;WD;Ndens
PARACOU;PAR15q18;PAR15;0.25ha;286452.2802;583646.0687;286437.8286;583693.9347;286500.1462;583660.5203;286485.6946;583708.3863;449.3;406.7;498.9;404.1;359.3;453.1;393;354.2;435.8;27.00957189;27.59499931;0.0472;4.379588836;33.27646253;0.735330724;772
PARACOU;PAR15q19;PAR15;0.25ha;286437.8286;583693.9347;286423.377;583741.8007;286485.6946;583708.3863;286471.243;583756.2522;364.9;324;415.8;329.5;286.1;382;318.4;283.7;359.8;24.34017471;24.95000076;0.2256;5.39444959;26.23881118;0.758105027;656
PARACOU;PAR15q20;PAR15;0.25ha;286423.377;583741.8007;286408.9254;583789.6666;286471.243;583756.2522;286456.7914;583804.1182;429.2;386.9;480.8;386.4;340.1;442.1;374.8;336.2;416.7;28.14414533;28.51999855;0.038;4.137724871;32.13710426;0.717185629;708
PARACOU;PAR15q21;PAR15;0.25ha;286529.0494;583564.7883;286514.5978;583612.6543;286576.9153;583579.2399;286562.4638;583627.1059;454.9;405.2;512.1;408.6;357.5;462.6;394.3;351.6;443;24.91752257;25.54999924;0.1048;4.452212247;32.12197121;0.732893443;668
PARACOU;PAR15q22;PAR15;0.25ha;286514.5978;583612.6543;286500.1462;583660.5203;286562.4638;583627.1059;286548.0122;583674.9719;456.5;409.4;509.5;412.9;359.8;472.6;398.4;356.8;446.1;25.46935975;26.38374996;0.1348;5.161514799;33.043881;0.728779808;696
PARACOU;PAR15q23;PAR15;0.25ha;286500.1462;583660.5203;286485.6946;583708.3863;286548.0122;583674.9719;286533.5606;583722.8379;444.9;396.3;498.3;401.4;349.1;460.9;388.2;345.2;441.9;23.3658351;23.70999908;0.2304;5.38009796;31.77317274;0.742290014;716
PARACOU;PAR15q24;PAR15;0.25ha;286485.6946;583708.3863;286471.243;583756.2522;286533.5606;583722.8379;286519.109;583770.7038;553.5;496.1;618.9;505.5;439.7;570.7;483.5;434.2;544.6;24.93917953;25.24749947;0.112044818;4.210926024;39.79846228;0.723274708;820
PARACOU;PAR15q25;PAR15;0.25ha;286471.243;583756.2522;286456.7914;583804.1182;286519.109;583770.7038;286504.6574;583818.5698;420.1;374.6;472.7;378;330.4;429.2;367.9;329.9;411.6;24.92714806;25.28000069;0.1276;4.894824662;30.10942297;0.764621614;740
PARACOU;PAR16q1;PAR16;0.25ha;285203.0951;581197.0996;285188.7271;581244.9908;285250.9862;581211.4677;285236.6182;581259.3588;423.1;362;499.7;395.9;329.2;483;372.1;318.6;440.5;23.24410295;23.81500053;0.2924;5.436122326;30.11108488;0.681802097;520
PARACOU;PAR16q2;PAR16;0.25ha;285188.7271;581244.9908;285174.359;581292.8819;285236.6182;581259.3588;285222.2502;581307.2499;588.8;506.5;693;562;464.5;688.6;512;435.8;609.5;28.39166769;29.61999893;0.1616;8.07721606;38.18667131;0.703640686;412
